,아파트,금액(만원),면적,층,주소
319,구월힐스테이트1단지,39000,83.98,17,구월동 23
320,구월힐스테이트1단지,38500,83.98,19,구월동 23
321,구월힐스테이트1단지,38500,83.87,14,구월동 23
322,에코메트로11,38400,85.0,30,논현동 774-1
323,구월힐스테이트1단지,38000,75.3,23,구월동 23
324,어울림마을,38000,84.96,23,간석동 938-1
325,논현센트럴뷰,38000,59.84,25,논현동 749-1
326,구월힐스테이트1단지,38000,83.98,17,구월동 23
327,논현파크포레,38000,84.94,6,논현동 580-1
328,현대(893-0),38000,127.03,1,간석동 893
329,향촌휴먼시아2단지,37500,84.8,16,만수동 1116-1
330,롯데캐슬골드,37500,83.87,6,구월동 24
331,어울림마을,37000,84.96,9,간석동 938-1
332,청광플러스원아파트,36700,84.99,16,서창동 640
333,구월힐스테이트1단지,36500,83.98,13,구월동 23
334,휴먼시아동산마을,36500,84.6,13,논현동 603-1
335,어울림마을,36500,84.96,8,간석동 938-1
336,롯데캐슬골드,36400,75.3,3,구월동 24
337,서창퍼스트뷰(7단지),36000,84.95,4,서창동 699
338,인천논현푸르지오,36000,61.87,24,논현동 810
339,논현유승한내들,36000,56.87,24,논현동 764-4
340,구월힐스테이트1단지,36000,83.78,4,구월동 23
341,논현센트럴뷰,36000,59.84,13,논현동 749-1
342,포레시안,36000,74.91,12,만수동 1115-1
343,주공11단지(단풍마을),36000,84.99,3,논현동 602-1
344,구월힐스테이트3단지,36000,83.98,19,구월동 20
345,논현파크포레,36000,84.94,10,논현동 580-1
346,논현센트럴뷰,36000,59.58,28,논현동 749-1
347,인천논현푸르지오,35800,61.87,26,논현동 810
348,인천논현푸르지오,35800,61.87,26,논현동 810
349,서창센트라스아파트,35500,84.92,8,서창동 692
350,구월아시아드선수촌8단지,35000,74.93,14,구월동 1554
351,서창센트라스아파트,35000,84.88,6,서창동 692
352,주공11단지(단풍마을),35000,84.99,13,논현동 602-1
353,에코에비뉴,35000,84.92,8,서창동 695
354,주공11단지(단풍마을),34800,84.79,3,논현동 602-1
355,하우스토리만수,34500,59.98,16,만수동 1123
356,포레시안,34500,84.35,15,만수동 1115-1
357,서창퍼스트뷰(7단지),34500,84.28,9,서창동 699
358,구월아시아드선수촌1단지,34000,59.99,17,구월동 1486
359,하우스토리만수,34000,59.99,17,만수동 1123
360,유호엔시티101-103동,34000,84.83,3,논현동 66-24
361,구월힐스테이트1단지,34000,59.9,22,구월동 23
362,풍림,34000,85.0,20,논현동 577
363,벽산,33900,84.93,21,만수동 1114
364,하우스토리만수,33600,59.99,6,만수동 1123
365,인천논현푸르지오,33500,70.19,1,논현동 810
366,어울림마을,33000,78.9,11,간석동 938-1
367,구월힐스테이트1단지,33000,59.9,5,구월동 23
368,구월아시아드선수촌2단지,33000,59.99,11,구월동 1485
369,만수주공2단지,33000,75.51,2,만수동 29
370,만수주공2단지,32800,75.51,5,만수동 29
371,극동,32800,70.8,12,간석동 501
372,서창센트라스아파트,32700,74.91,14,서창동 692
373,인천간석휴먼시아1단지,31500,59.93,18,간석동 940
374,에코에비뉴,31500,74.92,1,서창동 695
375,서창베라체아파트(11단지),31000,59.85,9,서창동 715
376,구월아시아드선수촌2단지,31000,59.99,5,구월동 1485
377,주공11단지,31000,84.9,12,만수동 1113
378,풍림아이원,31000,59.86,20,간석동 935
379,주공그린빌2차,30700,76.28,12,도림동 630-1
380,논현유승한내들,30600,56.16,38,논현동 764-4
381,포레시안,30500,59.71,18,만수동 1115-1
382,서창베라체아파트(11단지),30000,59.85,13,서창동 715
383,벽산,30000,84.93,18,만수동 1114
384,포레시안,30000,59.76,6,만수동 1115-1
385,센트럴시티그랑베르,30000,60.0,12,구월동 1609
386,논현유승한내들,30000,56.87,12,논현동 764-4
387,주공2단지,30000,83.84,4,논현동 563-3
388,벽산,29800,84.93,8,만수동 1114
389,대성유니드별빛마을,29500,84.35,1,만수동 844-1
390,롯데캐슬골드,29500,46.88,15,구월동 24
391,만수주공2단지,29000,66.38,14,만수동 29
392,포레시안,29000,59.76,19,만수동 1115-1
393,남촌풍림2차,28800,84.84,9,남촌동 391-3
394,현대(893-0),28300,84.99,11,간석동 893
395,구월힐스테이트1단지,28000,59.9,8,구월동 23
396,센트럴시티그랑베르,28000,60.0,15,구월동 1609
397,한국,27700,84.23,13,만수동 1045
398,한국,27700,84.23,13,만수동 1045
399,만수주공2단지,27500,64.62,3,만수동 29
400,주공13단지(푸르내마을),27400,59.29,7,논현동 600-9
401,신동아,27000,84.91,4,만수동 5-426
402,포레시안,26800,46.89,12,만수동 1115-1
403,두진,25800,76.68,8,간석동 917-2
404,만수주공2단지,25000,54.9,3,만수동 29
405,신세계,25000,88.68,12,구월동 342-1
406,주공1단지,25000,59.13,14,논현동 564-1
407,주공1단지,25000,59.13,14,논현동 564-1
408,한진,25000,61.16,8,간석동 519-4
409,풍림,25000,59.7,14,논현동 577
410,벽산,24800,59.8,17,만수동 1114
411,주공2단지,24000,83.84,13,논현동 563-3
412,주공1단지,24000,59.13,14,논현동 564-1
413,주공13단지(푸르내마을),24000,51.86,11,논현동 600-9
414,주공1단지,23700,59.13,2,논현동 564-1
415,주공1단지,23500,59.13,3,논현동 564-1
416,만수주공4단지,23500,54.9,6,만수동 13
417,주공13단지(푸르내마을),22800,51.86,3,논현동 600-9
418,주공13단지(푸르내마을),22500,51.86,2,논현동 600-9
419,만수주공3단지,22500,53.85,3,만수동 46
420,만수주공5단지,22500,41.3,3,만수동 17
421,주공13단지(푸르내마을),22500,51.86,3,논현동 600-9
422,만수주공4단지,22000,54.9,5,만수동 13
423,한진,22000,62.54,9,간석동 519-4
424,주공1단지,21700,59.13,9,논현동 564-1
425,장수,21700,94.43,2,만수동 423-3
426,벽산,21500,59.8,1,만수동 1114
427,삼환1단지,20100,50.26,14,만수동 983-1
428,삼환1단지,18950,50.26,14,만수동 983-1
429,주공1단지,18500,48.87,18,논현동 564-1
430,만수주공5단지,18500,41.3,1,만수동 17
431,삼환1단지,18100,50.26,9,만수동 983-1
432,만수주공6단지,17800,38.52,5,만수동 20
433,해드림,17700,44.9,10,구월동 1136-7
434,담방마을,16500,45.76,4,만수동 1049
435,담방마을,16300,46.12,18,만수동 1049
436,만수주공10단지,16200,49.77,5,만수동 1043
437,주공8단지,15700,38.64,10,만수동 1005
438,담방마을,15650,49.72,13,만수동 1049
439,금원,15000,55.08,3,만수동 922-13
440,아주(5-3),13000,50.52,4,만수동 5-3
441,대명어반스테이,12950,20.02,3,구월동 1142-2
442,한국공영,12800,45.24,5,만수동 5-287
443,아델라이,12500,23.33,16,구월동 1129
444,주공8단지,12500,38.64,15,만수동 1005
445,청호,12100,53.91,1,남촌동 571-1
446,만수주공5단지,12000,32.39,4,만수동 17
447,삼성,12000,39.96,1,만수동 968-1
448,만수뉴서울아파트,11400,34.65,10,만수동 1044
449,한국(신),10700,45.35,5,간석동 387
450,현광,10500,39.24,2,만수동 917-1
451,만수뉴서울아파트,10000,34.65,1,만수동 1044
452,공작아파트,9900,37.83,1,만수동 1079-2
453,신한,9600,40.95,2,만수동 2-21
454,웰스하임,7900,18.97,8,간석동 214-15
455,M타워2,6100,14.48,5,구월동 1125-3
456,에코메트로10,72500,143.26,12,논현동 773-1
457,에코메트로9,70000,150.78,34,논현동 766-1
458,구월힐스테이트1단지,61500,133.83,12,구월동 23
459,에코메트로12,59500,115.07,17,논현동 755-4
460,구월유승한내들퍼스티지,58500,94.03,1,구월동 1508
461,간석래미안자이,56000,84.98,22,간석동 939-1
462,인천소래논현구역C10블록에코메트로3차더타워,55000,105.05,11,논현동 751-1
463,어울림마을,55000,101.69,22,간석동 938-1
464,구월힐스테이트1단지,54000,133.83,29,구월동 23
465,신영구월지웰시티푸르지오,53900,84.91,34,구월동 1608
466,구월힐스테이트1단지,53000,133.83,28,구월동 23
467,신영구월지웰시티푸르지오,52500,84.92,38,구월동 1608
468,구월힐스테이트1단지,50800,115.67,15,구월동 23
469,에코메트로11,50800,115.07,15,논현동 774-1
470,구월유승한내들퍼스티지,50000,84.35,9,구월동 1508
471,호반베르디움,50000,84.74,3,서창동 702
472,롯데캐슬골드,49500,75.3,14,구월동 24
473,롯데캐슬골드,49500,83.78,20,구월동 24
474,이편한세상서창,49500,84.92,5,서창동 685
475,포레시안,49000,84.93,7,만수동 1115-1
476,에코메트로5,49000,84.95,13,논현동 755-1
477,호반베르디움,49000,84.74,17,서창동 702
478,인천소래논현구역C10블록에코메트로3차더타워,48500,95.69,11,논현동 751-1
479,어진마을한화꿈에그린(6단지),48000,101.31,20,논현동 634-1
480,구월힐스테이트1단지,47200,84.81,21,구월동 23
481,이편한세상서창,47000,84.92,21,서창동 685
482,에코메트로6,46800,84.95,8,논현동 756-1
483,에코메트로11,46500,84.99,11,논현동 774-1
484,에코메트로12,46000,84.99,10,논현동 755-4
485,에코메트로12,45800,101.99,6,논현동 755-4
486,에코메트로12,45800,101.99,6,논현동 755-4
487,에코메트로7,45000,84.99,26,논현동 757-1
488,에코메트로11,45000,84.99,25,논현동 774-1
489,서창베라체아파트(11단지),45000,59.52,5,서창동 715
490,임광그대가,45000,134.54,1,서창동 560-2
491,이편한세상서창,43800,84.92,20,서창동 685
492,구월힐스테이트1단지,43500,84.81,19,구월동 23
493,에코메트로6,43500,84.99,27,논현동 756-1
494,에코메트로6,43200,84.99,12,논현동 756-1
495,구월힐스테이트1단지,43000,84.81,26,구월동 23
496,서창센트럴푸르지오,43000,84.98,17,서창동 682
497,구월힐스테이트1단지,43000,83.78,19,구월동 23
498,에코메트로12,43000,84.99,27,논현동 755-4
499,롯데캐슬골드,43000,83.98,19,구월동 24
500,롯데캐슬골드,42600,83.89,22,구월동 24
501,에코메트로6,42500,84.99,8,논현동 756-1
502,에코메트로6,42500,84.99,8,논현동 756-1
503,이편한세상서창,42200,84.92,20,서창동 685
504,이편한세상서창,42000,84.92,13,서창동 685
505,금호타운,42000,124.05,4,만수동 1048
506,이편한세상서창,42000,84.92,14,서창동 685
507,구월아시아드선수촌5단지,42000,74.94,12,구월동 1513
508,에코메트로6,42000,84.99,13,논현동 756-1
509,서창센트럴푸르지오,42000,74.98,25,서창동 682
510,서창센트럴푸르지오,41900,74.98,12,서창동 682
511,이편한세상서창,41800,84.92,16,서창동 685
512,에코메트로11,41500,84.99,17,논현동 774-1
513,에코메트로11,41000,84.99,15,논현동 774-1
514,풍림아이원,41000,84.96,12,간석동 935
515,이편한세상서창,40800,84.92,9,서창동 685
516,롯데캐슬골드,40500,83.78,28,구월동 24
517,롯데캐슬골드,40300,83.87,4,구월동 24
518,롯데캐슬골드,40100,83.78,16,구월동 24
519,이편한세상서창,40000,84.95,19,서창동 685
520,이편한세상서창,40000,84.95,11,서창동 685
521,구월아시아드선수촌8단지,40000,74.93,15,구월동 1554
522,서창센트럴푸르지오,39500,74.99,8,서창동 682
523,서창센트럴푸르지오,39500,74.98,6,서창동 682
524,롯데캐슬골드,39500,83.78,7,구월동 24
525,서창센트럴푸르지오,39000,74.98,22,서창동 682
526,남촌풍림3차,39000,123.4,4,남촌동 649
527,구월힐스테이트3단지,38500,83.98,15,구월동 20
528,구월아시아드선수촌5단지,38500,74.93,14,구월동 1513
529,포레시안,38000,84.35,19,만수동 1115-1
530,서해그랑블,38000,106.6,12,서창동 540
531,서해그랑블,38000,107.74,12,서창동 540
532,구월힐스테이트1단지,38000,83.87,15,구월동 23
