,아파트,금액(만원),면적,층,주소
505,우주마루,20600,66.61,8,부평동 415-3
506,우주마루,20500,68.62,11,부평동 415-3
507,경남1차,20500,59.72,3,산곡동 142-3
508,태화(416),20500,59.93,5,갈산동 416
509,대림1차,20400,50.16,8,부평동 64-20
510,한신(137-3),20000,64.34,13,산곡동 137-3
511,청천,20000,47.4,1,청천동 16-8
512,한신(137-3),20000,64.34,12,산곡동 137-3
513,삼이,19500,54.6,2,부개동 90-1
514,삼산주공미래타운2차,19500,49.4,3,삼산동 388-7
515,삼산주공미래타운2차,19500,49.4,16,삼산동 388-7
516,리코팰리스2차,19000,48.18,7,부평동 500-2
517,한신(137-8),19000,53.17,1,산곡동 137-8
518,비둘기,19000,51.4,2,부개동 65-1
519,주공1단지,18500,41.3,9,갈산동 359
520,무지개,18500,59.92,11,청천동 390-5
521,백영,18300,60.0,15,십정동 216
522,주공1단지,18200,41.3,7,갈산동 359
523,삼산주공미래타운2차,18100,49.4,1,삼산동 388-7
524,해피에이스,18000,43.17,2,부평동 179-8
525,삼산주공미래타운2차,18000,49.4,2,삼산동 388-7
526,주공1단지,18000,44.94,8,갈산동 359
527,주공1단지,17300,44.94,14,갈산동 359
528,아이앤비,17000,59.98,7,부평동 494-2
529,아이앤비,17000,59.98,7,부평동 494-2
530,우성1차2차(294-35),16950,41.02,14,산곡동 294-35
531,신삼호(A동),16700,38.41,5,부개동 105-5
532,광명,16500,59.98,13,청천동 399-6
533,뉴서울,16500,39.48,2,부개동 477-3
534,뉴서울,16300,39.48,13,부개동 477-3
535,동원(82-36),16000,46.8,9,산곡동 82-36
536,JY팰리스,15900,45.77,10,부평동 134-13
537,동원(82-36),15800,46.8,8,산곡동 82-36
538,주공1단지,15800,44.94,7,갈산동 359
539,베네스트진,15600,39.61,7,부평동 442-33
540,태산,15500,56.93,1,삼산동 60-6
541,동양,15000,45.52,2,청천동 397
542,인향,15000,59.96,13,청천동 377-9
543,로뎀레뷰(377-16),15000,44.84,9,부평동 377-16
544,동원,15000,56.73,1,부개동 251-2
545,백영,14800,60.0,21,십정동 216
546,조양휴캐슬,14700,44.37,12,부평동 465-35
547,동원(82-36),14000,46.8,5,산곡동 82-36
548,인우,13900,61.92,3,산곡동 63-58
549,광명13차,13000,47.26,1,삼산동 359-2
550,거산,13000,59.67,5,산곡동 63-70
551,현대렉스힐,12600,38.98,11,부평동 161-12
552,동양,11900,40.56,1,청천동 397
553,정광,11800,43.71,3,삼산동 205
554,M-City,7300,19.39,11,부평동 507-2
