,아파트,금액(만원)Incheon_abc_MC2301_84.csv,면적Incheon_abc_MC2301_84.csv,층Incheon_abc_MC2301_84.csv,주소Incheon_abc_MC2301_84.csv,금액(만원)Incheon_abc_MC2312_84.csv,면적Incheon_abc_MC2312_84.csv,층Incheon_abc_MC2312_84.csv,주소Incheon_abc_MC2312_84.csv
212,신영구월지웰시티푸르지오,53900,84.91,34,구월동 1608,58500,84.93,33,구월동 1608
213,신영구월지웰시티푸르지오,41500,84.92,11,구월동 1608,58500,84.93,33,구월동 1608
214,어울림마을,38000,84.96,23,간석동 938-1,40500,84.96,3,간석동 938-1
215,어울림마을,36500,84.96,8,간석동 938-1,40500,84.96,3,간석동 938-1
216,어울림마을,43000,84.96,5,간석동 938-1,40500,84.96,3,간석동 938-1
217,어울림마을,37000,84.96,9,간석동 938-1,40500,84.96,3,간석동 938-1
218,어울림마을,37000,84.96,9,간석동 938-1,40500,84.96,3,간석동 938-1
219,에코메트로11,40000,84.99,25,논현동 774-1,51250,84.99,26,논현동 774-1
220,에코메트로11,40000,84.99,25,논현동 774-1,47000,84.99,4,논현동 774-1
221,에코메트로11,40000,84.99,25,논현동 774-1,46600,84.99,1,논현동 774-1
222,에코메트로11,40000,84.99,25,논현동 774-1,52000,84.99,20,논현동 774-1
223,에코메트로11,40000,84.99,25,논현동 774-1,52000,84.99,9,논현동 774-1
224,에코메트로11,41500,84.99,17,논현동 774-1,51250,84.99,26,논현동 774-1
225,에코메트로11,41500,84.99,17,논현동 774-1,47000,84.99,4,논현동 774-1
226,에코메트로11,41500,84.99,17,논현동 774-1,46600,84.99,1,논현동 774-1
227,에코메트로11,41500,84.99,17,논현동 774-1,52000,84.99,20,논현동 774-1
228,에코메트로11,41500,84.99,17,논현동 774-1,52000,84.99,9,논현동 774-1
229,에코메트로11,46500,84.99,11,논현동 774-1,51250,84.99,26,논현동 774-1
230,에코메트로11,46500,84.99,11,논현동 774-1,47000,84.99,4,논현동 774-1
231,에코메트로11,46500,84.99,11,논현동 774-1,46600,84.99,1,논현동 774-1
232,에코메트로11,46500,84.99,11,논현동 774-1,52000,84.99,20,논현동 774-1
233,에코메트로11,46500,84.99,11,논현동 774-1,52000,84.99,9,논현동 774-1
234,에코메트로11,45000,84.99,25,논현동 774-1,51250,84.99,26,논현동 774-1
235,에코메트로11,45000,84.99,25,논현동 774-1,47000,84.99,4,논현동 774-1
236,에코메트로11,45000,84.99,25,논현동 774-1,46600,84.99,1,논현동 774-1
237,에코메트로11,45000,84.99,25,논현동 774-1,52000,84.99,20,논현동 774-1
238,에코메트로11,45000,84.99,25,논현동 774-1,52000,84.99,9,논현동 774-1
239,에코메트로11,42300,84.99,5,논현동 774-1,51250,84.99,26,논현동 774-1
240,에코메트로11,42300,84.99,5,논현동 774-1,47000,84.99,4,논현동 774-1
241,에코메트로11,42300,84.99,5,논현동 774-1,46600,84.99,1,논현동 774-1
242,에코메트로11,42300,84.99,5,논현동 774-1,52000,84.99,20,논현동 774-1
243,에코메트로11,42300,84.99,5,논현동 774-1,52000,84.99,9,논현동 774-1
244,에코메트로11,41000,84.99,15,논현동 774-1,51250,84.99,26,논현동 774-1
245,에코메트로11,41000,84.99,15,논현동 774-1,47000,84.99,4,논현동 774-1
246,에코메트로11,41000,84.99,15,논현동 774-1,46600,84.99,1,논현동 774-1
247,에코메트로11,41000,84.99,15,논현동 774-1,52000,84.99,20,논현동 774-1
248,에코메트로11,41000,84.99,15,논현동 774-1,52000,84.99,9,논현동 774-1
249,에코메트로11,43900,84.99,18,논현동 774-1,51250,84.99,26,논현동 774-1
250,에코메트로11,43900,84.99,18,논현동 774-1,47000,84.99,4,논현동 774-1
251,에코메트로11,43900,84.99,18,논현동 774-1,46600,84.99,1,논현동 774-1
252,에코메트로11,43900,84.99,18,논현동 774-1,52000,84.99,20,논현동 774-1
253,에코메트로11,43900,84.99,18,논현동 774-1,52000,84.99,9,논현동 774-1
254,에코메트로12,43000,84.99,27,논현동 755-4,42000,84.99,2,논현동 755-4
255,에코메트로12,43000,84.99,27,논현동 755-4,50700,84.99,17,논현동 755-4
256,에코메트로12,43000,84.99,27,논현동 755-4,47500,84.99,7,논현동 755-4
257,에코메트로12,43000,84.99,27,논현동 755-4,52500,84.99,13,논현동 755-4
258,에코메트로12,46000,84.99,10,논현동 755-4,42000,84.99,2,논현동 755-4
259,에코메트로12,46000,84.99,10,논현동 755-4,50700,84.99,17,논현동 755-4
260,에코메트로12,46000,84.99,10,논현동 755-4,47500,84.99,7,논현동 755-4
261,에코메트로12,46000,84.99,10,논현동 755-4,52500,84.99,13,논현동 755-4
262,에코메트로5,49000,84.95,13,논현동 755-1,55800,84.99,20,논현동 755-1
263,에코메트로5,49000,84.95,13,논현동 755-1,52000,84.99,8,논현동 755-1
264,에코메트로5,49000,84.95,13,논현동 755-1,57000,84.95,29,논현동 755-1
265,에코메트로5,52000,84.99,36,논현동 755-1,55800,84.99,20,논현동 755-1
266,에코메트로5,52000,84.99,36,논현동 755-1,52000,84.99,8,논현동 755-1
267,에코메트로5,52000,84.99,36,논현동 755-1,57000,84.95,29,논현동 755-1
268,에코메트로5,52000,84.99,36,논현동 755-1,55800,84.99,20,논현동 755-1
269,에코메트로5,52000,84.99,36,논현동 755-1,52000,84.99,8,논현동 755-1
270,에코메트로5,52000,84.99,36,논현동 755-1,57000,84.95,29,논현동 755-1
271,에코메트로5,51100,84.95,24,논현동 755-1,55800,84.99,20,논현동 755-1
272,에코메트로5,51100,84.95,24,논현동 755-1,52000,84.99,8,논현동 755-1
273,에코메트로5,51100,84.95,24,논현동 755-1,57000,84.95,29,논현동 755-1
274,에코메트로5,51000,84.95,11,논현동 755-1,55800,84.99,20,논현동 755-1
